# name|admission|source|activity1|activity2|activity3
# Activities are editorial tags derived from the linked official department descriptions, reviewed 2026-09-19.
기계공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:기계의 작동 원리 이해|실행:기계부품 제작|탐구:장비 운전과 정비
기계설계공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:설계 계산과 해석|창의:제품 설계|실행:생산성 개선
로봇자동화공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:제어시스템 설계|실행:자동화설비 구축|탐구:기계와 전자 융합기술 학습
반도체기계공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:설비 상태 분석|실행:반도체 장비 운영|탐구:기계설비 유지보수
조선기계공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:선박 구조 이해|실행:선박 정비 실습|탐구:조선해양 기술 학습
항공기계공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:항공기 구조 이해|실행:항공기 수리와 개조|탐구:항공정비 실기교육
자동차공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:차량 시험과 부품 분석|실행:자동차 정비|창의:자동차 부품 설계
전기공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:전력계통 이해|실행:전기설비 실험실습|탐구:자동제어 기술 학습
전자공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:전자산업 기술 학습|실행:산업체 현장실습|탐구:기술변화에 대응하는 트랙교육
정보통신공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:데이터통신과 네트워크 이해|실행:서버 운영과 네트워크 구축|탐구:하드웨어와 반도체 설계
AI소프트웨어학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:소프트웨어 분석과 설계|실행:웹·앱 개발과 검사|탐구:개발 과정 문서화
AI컴퓨터학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:컴퓨터 문제 해결|실행:하드웨어·소프트웨어 실무|탐구:정보기술 신기술 학습
디지털마케팅공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:마케팅 데이터와 효과 분석|창의:디지털마케팅 UX·UI 설계|소통:마케팅 캠페인 기획
건설환경공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:구조와 토질 분석|실행:건설 설계와 시공|탐구:측량과 환경 실습
공간정보빅데이터학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:GIS 공간정보 분석|실행:수치지도 제작과 측량|탐구:원격탐사 기술 학습
화학생명공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:화학물질 분석|실행:화학 실험실습|탐구:미생물과 환경 연구
재료공학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:재료 특성 이해|실행:금속·재료 실습|탐구:신소재 개발
건축학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|창의:건축 설계와 BIM|분석:구조와 법규 검토|실행:시공 실무교육
실내건축학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|창의:실내공간 디자인|실행:시공 실습|분석:컴퓨터 그래픽 설계
산업디자인학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|창의:제품·시각디자인|실행:디자인 실무 프로젝트|소통:디자인과 마케팅 연결
패션디자인학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|창의:패션 디자인|실행:패션 실무 교육|소통:패션 상품 기획
항공운항과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|소통:외국어와 객실 서비스|실행:서비스 현장교육|탐구:다문화 이해
항공경영학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:예약·화물 시스템 이해|실행:발권과 운송 실습|소통:외국어와 고객 서비스
관광경영학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|소통:고객 서비스 교육|실행:관광 현장실무|탐구:외국어 학습
경영비서학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|소통:커뮤니케이션 훈련|실행:비서 현장실습|분석:정보관리와 사무기술
호텔경영학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|소통:호텔 고객 서비스|실행:식음료·객실 실습|탐구:어학과 현장실습
물류시스템학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|분석:물류 흐름 파악|실행:운송기업 연계 실무|소통:물류 현장 협업
스포츠헬스케어학과|일반|https://opmajors.inhatc.ac.kr/ipsi/579/subview.do|탐구:운동과 건강 과학 학습|분석:운동프로그램 처방|소통:건강 상담과 교육
스마트기계설계과|별도모집|https://opmajors.inhatc.ac.kr/kr/481/subview.do|분석:전산구조해석|창의:3차원 모델링과 제품 설계|실행:3D프린팅 프로젝트
첨단스마트자동차과|별도모집|https://opmajors.inhatc.ac.kr/kr/482/subview.do|분석:자동차 파손 분석|실행:차체수리와 정비|창의:자동차 도장 작업
스마트정보통신공학과|별도모집|https://opmajors.inhatc.ac.kr/kr/3609/subview.do|분석:아날로그 회로설계|실행:PCB 제작과 IoT 실습|탐구:정보통신 하드웨어 개발
디지털사무경영과|별도모집|https://opmajors.inhatc.ac.kr/kr/3610/subview.do|분석:재무비율과 원가 분석|실행:세무·회계 실무|소통:인사·총무 업무
글로벌관광서비스학과|별도모집|https://opmajors.inhatc.ac.kr/kr/3705/subview.do|소통:호텔 식음료 서비스|실행:식음료 업장 운영|창의:식음료 메뉴 기획
